data_set_1,data_set_2,data_set_3,data_set_4,data_set_5,data_set_6,data_set_7,data_set_8,data_set_9,data_set_10,data_set_11,data_set_12,data_set_13,data_set_14,data_set_15,data_set_16,data_set_17,data_set_18,data_set_19,data_set_20,data_set_21,data_set_22,data_set_23,data_set_24,data_set_25,data_set_26
0.0718840579689309,0.054782608694064275,0.01594202898504516,0.005217391304196598,0.002318840579642932,0.002608695652098299,0.0014492753622768328,0.002028985507187566,0.001159420289821466,0.002028985507187566,0.0002898550724553665,0.0017391304347321992,0.0017391304347321992,0.0014492753622768328,0.0014492753622768328,0.000579710144910733,0.000579710144910733,0.001159420289821466,0.0002898550724553665,0.0017391304347321992,0.002318840579642932,0.00666666666647343,0.014492753622768327,0.02840579710062592,0.33217391303385,0.4455072463638984
0.05919258046756158,0.05591925804539227,0.027277686851410868,0.0021822149481128695,0.0021822149481128695,0.0035460992906834127,0.0030005455536551953,0.001636661211084652,0.0027277686851410864,0.0019094380795987606,0.000818330605542326,0.000818330605542326,0.0013638843425705432,0.0010911074740564347,0.0005455537370282174,0.0,0.0005455537370282174,0.0002727768685141087,0.0002727768685141087,0.000818330605542326,0.001636661211084652,0.0046372067647398475,0.012547735951648998,0.02809601745695319,0.3396072013000653,0.4473540643631382
0.05876623376432578,0.046103896102399226,0.008441558441284365,0.0016233766233239165,0.0019480519479886996,0.0016233766233239165,0.0025974025973182664,0.0029220779219830497,0.0025974025973182664,0.0029220779219830497,0.0012987012986591332,0.0025974025973182664,0.0025974025973182664,0.0016233766233239165,0.0009740259739943498,0.0012987012986591332,0.0006493506493295666,0.0006493506493295666,0.0,0.0006493506493295666,0.0,0.0025974025973182664,0.008766233765949148,0.025974025973182664,0.45324675323203745,0.3675324675205347
0.06351351351065256,0.05405405405161919,0.03153153153011119,0.008558558558173038,0.0013513513512904798,0.0009009009008603199,0.0022522522521507995,0.0,0.0013513513512904798,0.0,0.0031531531530111195,0.0013513513512904798,0.0013513513512904798,0.0022522522521507995,0.0022522522521507995,0.0009009009008603199,0.0013513513512904798,0.0018018018017206398,0.0,0.00045045045043015994,0.0031531531530111195,0.0027027027025809595,0.008558558558173038,0.037387387385703276,0.3328828828678882,0.4369369369172551
0.0541666666646149,0.06174242424008552,0.018939393938676538,0.0060606060603764925,0.0015151515150941231,0.0018939393938676539,0.0026515151514147155,0.0015151515150941231,0.0011363636363205924,0.0015151515150941231,0.0003787878787735308,0.0015151515150941231,0.0026515151514147155,0.0007575757575470616,0.0015151515150941231,0.0011363636363205924,0.0007575757575470616,0.0,0.0003787878787735308,0.003409090908961777,0.0011363636363205924,0.005303030302829431,0.010606060605658862,0.03333333333207071,0.33257575756316005,0.45340909089191633
0.04897959183491727,0.07124304266897058,0.020408163264548862,0.006679035250215992,0.0014842300556035537,0.0029684601112071073,0.0007421150278017768,0.001855287569504442,0.0014842300556035537,0.001855287569504442,0.0022263450834053306,0.0011131725417026653,0.0029684601112071073,0.0014842300556035537,0.0,0.0014842300556035537,0.0003710575139008884,0.0022263450834053306,0.0011131725417026653,0.0007421150278017768,0.0022263450834053306,0.004452690166810661,0.010389610389224875,0.028571428570368408,0.31465677178795337,0.4682745825429212
0.06541582149769697,0.05730223123441672,0.01267748478637538,0.0005070993914550152,0.002028397565820061,0.0010141987829100304,0.0010141987829100304,0.0005070993914550152,0.0005070993914550152,0.0,0.0005070993914550152,0.0,0.0,0.0005070993914550152,0.0,0.0,0.0005070993914550152,0.0005070993914550152,0.0,0.0,0.0030425963487300915,0.0010141987829100304,0.004056795131640122,0.01166328600346535,0.5628803245150669,0.27434077077716323
0.0706618962401314,0.058586762072514016,0.014311270124583575,0.0008944543827864735,0.0022361359569661836,0.0031305903397526574,0.0022361359569661836,0.0022361359569661836,0.0013416815741797102,0.0,0.0008944543827864735,0.0,0.0,0.0,0.0,0.0,0.0,0.00044722719139323673,0.0,0.0008944543827864735,0.0008944543827864735,0.0026833631483594205,0.009391771019257972,0.022361359569661836,0.4521466904985623,0.3546511627748367
0.05665024630309318,0.06732348111382087,0.016420361247273384,0.002052545155909173,0.0024630541870910077,0.0028735632182728425,0.0028735632182728425,0.0016420361247273384,0.0012315270935455039,0.0004105090311818346,0.0,0.0,0.0,0.0,0.0,0.0004105090311818346,0.0,0.0012315270935455039,0.0,0.0016420361247273384,0.0008210180623636692,0.0012315270935455039,0.004105090311818346,0.017241379309637053,0.48891625613756506,0.3304597701013769
0.06019151846510755,0.06292749657715789,0.015047879616276887,0.0,0.0013679890560251715,0.00045599635200839055,0.0,0.0,0.00045599635200839055,0.00045599635200839055,0.0,0.00045599635200839055,0.0,0.00045599635200839055,0.0,0.00045599635200839055,0.0,0.0,0.0,0.0013679890560251715,0.00045599635200839055,0.0036479708160671244,0.0041039671680755145,0.016415868672302058,0.5713634290665134,0.26037391699679097
